Código;Nome do cargo na Pesquisa;Cargos Similares;Missão do Cargo;;;;;;;;;;;;;;;;;;;
1053;Auxiliar de Expedição;;Auxilia nos processos relacionados à separação dos produtos no estoque, à segurança das embalagens para envio, ao controle dos produtos no estoque, bem como liberação das mercadorias para envio. Atuar no registro de entradas ou saídas de mercadorias, preenchimento de planilhas e sistemas de ERP. Auxiliar no setor de embalagens e nas conferências de notas fiscais. Dar apoio com carga e descarga em veículos de transporte.;;;;;;;;;;;;;;;;;;;
1123;Auxiliar de Funilaria;"Auxiliar de Acabamento; Auxiliar de Acabamento de Fundição; Auxiliar de Fundição; Auxiliar de Fundição";Prestar suporte ao fundidor/funileiro e auxiliar no processo de fundição de metais, traçar, puncionar, furar e cortar. Preparar materiais para a fundição, como moldes e aditivos e auxiliar no transporte e armazenamento de metal fundido e chapas. Realiza a limpeza de equipamentos, montagem e desmontagem de moldes, e manutenção do ambiente de trabalho. Auxilia a inspecionar e preparar peças fundidas para etapas posteriores do processo de produção, contribuindo para a qualidade do produto final. Auxiliar no corte, dobra, estampagem e furação de chapas para formação de peças e partes de equipamento. Auxiliar operador nas máquinas de corte e dobra. Auxiliar nas pré-montagens de equipamento. Separar/pegar material destinado a confecção de peças conforme projeto. Operar furadeiras, serras, plasma, metaleira, prensa. Executar acabamento de peças e equipamentos utilizando lixadeira, esmerilhadeira, fosqueadeira e gel decapante.;;;;;;;;;;;;;;;;;;;
798;Auxiliar de Laboratorista Têxtil;;Auxiliar nas tarefas de ensaios físicos, químicos, metalográficos e biológicos. Auxiliar as atividades de manutenção de equipamento, testes, análises e amostragem de materiais. Trabalhar segundo normas de segurança, saúde e meio ambiente. Contribuir para o sistema da qualidade da empresa. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
88;Auxiliar de Logística;"Auxiliar de Materiais; Auxiliar de Supply Chain;";Auxiliar na execução de atividades de logística. Auxiliar na conferência de materiais e produtos. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
861;Auxiliar de Manutenção;Zelador;Executar serviços gerais de natureza simples e semi-qualificadas no setor de manutenção (mecânica / elétrica/infraestrutura predial) e/ou ferramentaria, principalmente que exijam esforço físico. Transportar peças e materiais nas dependências da empresa conforme determinações do superior. Manter limpo e organizado o setor de trabalho recolhendo peças e detritos gerais, colocando cada coisa em seu lugar. Ler e interpretar desenhos técnicos e catálogos de máquinas, equipamentos, painéis.Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
393;Auxiliar de Produção;"Abastecedor de Máquinas de Linha de Produção; Alimentador de Esteiras; Alimentador de Linha de Produção; Auxiliar de Montador; Auxiliar Industrial";Auxiliar na preparação da linha de produção da empresa, fazer manutenção preventiva de máquinas, operação de máquinas, abastecimento de linhas de produção. Realizar montagem e desmontagem de peças e máquinas seguindo orientação de um técnico. Executar instalações elétricas simples, ajustes mecânicos, lubrificação, armazenagem de ferramentas para o trabalho, testes práticos e preparação de máquinas para expedição. Montar, testar e inspecionar placas, aparelhos e /ou equipamentos. Organizar e manter o local de trabalho em condições de uso. Abastecer o posto de trabalho de componentes, peças e materiais. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
630;Auxiliar de Qualidade;Auxiliar de Gestão Integrada;Auxiliar no recebimento, na organização, no armazenamento e na movimentação de insumos. Prestar apoio no cumprimento e conformidade de processos. Trabalhar de acordo com normas e procedimentos técnicos, de qualidade e de segurança. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
91;Auxiliar de Serviços Gerais;"Agente de Serviços Gerais; Auxiliar de Limpeza; Auxiliar de Limpeza e Conservação; Auxiliar de Limpeza e Manutenção; Faxineira; Servente de Limpeza";"Profissional que oferece auxílio e suporte rápido a diversos setores da organização. Além de atuar na limpeza e na manutenção da higiene e organização dos ambientes. Limpam, arrumam, organizam, vistoriam e abastecem estações de trabalho. Executam serviços de limpeza em geral (pisos, paredes, tetos, sanitários, pias, vidraças, jardins, fachadas); Utilizam produtos de limpeza; Transporte de móveis e objetos em geral; Serviços de carga e descarga de materiais; Trabalham seguindo normas de segurança, higiene, qualidade e proteção ao meio ambiente. Entre outras atividades pertinentes ao cargo.";;;;;;;;;;;;;;;;;;;
1028;Auxiliar de Talhação;Auxiliar de corte;Programam riscos marcadores por processo manual ou digital, enfestam e cortam tecidose não-tecidos, preparam lotes e pacotes para o setor de costura de roupas. distribuempeças cortadas para as costureiras, retiram, revisam, contam e dobram peças acabadas.trabalham em conformidade a normas técnicas de qualidade, meio ambiente e saúde.;;;;;;;;;;;;;;;;;;;
1085;Auxiliar de Tecelão;;Receber e conferir tecidos e materiais. Verificar a qualidade dos produtos concluídos. Auxiliar a realizar consertos, ajustes e reparos em geral dos produtos de tecelagem produzidos. Acionar as máquinas e manipular seus dispositivos de funcionamento e de comando para produzir artigos de malhas. Abastecer e reabastecer as máquinas a fim de prepará-las para o tecimento. Fazer emendas de forma manual nos fios partidos. Realizar limpeza das máquinas com de jato de ar comprimido. Seguir normas e procedimentos técnicos de qualidade, segurança, meio ambiente e saúde.;;;;;;;;;;;;;;;;;;;
996;Auxiliar de Transportes;"Ajudante de Motorista; Auxiliar de Frota;";"Executar carregamento de caminhões, organizando a carga, conferindo os produtos e os volumes; Embalar materiais mediante documentos de expedição, procedendo com as identificações e movimentações; Acompanhar o motorista nas viagens de entrega e executar descarregamento dos produtos no cliente, conferindo os produtos e volumes; Operar bombas de produtos químicos sempre que necessário.";;;;;;;;;;;;;;;;;;;
773;Auxiliar de Usinagem;;Operar equipamentos de menor complexidade, fazendo ajustes nas peças. Organizam o local de trabalho para execução de atividades de ajustagem mecânica. Fabricar, reparar, realizar manutenção e instalar peças e equipamentos. Calibrar instrumentos de medição e traçagem. Trabalhar seguindo normas de segurança, higiene, qualidade e preservação ambiental. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
221;Auxiliar Técnico;Auxiliar de Amostras;Auxiliar em atividades de caráter operacional. Auxiliar na preparação, conferência e envio de amostra. Fazer a bandeira e cartelas. Montar mostruário para os representantes ;;;;;;;;;;;;;;;;;;;
1188;Auxiliar Vistoriador;;Auxiliar na identificação e no apontamento de reparos necessários à integridade estrutural dos containers, dando suporte técnico e operacional ao Vistoriador em todas as etapas do processo de vistoria, conforme os padrões de qualidade e segurança estabelecidos.;;;;;;;;;;;;;;;;;;;
818;Carregador de Fios;"Abastecedor de linha de produção; Abastecedor de máquinas de linha de produção; Alimentador de esteiras (preparação de alimentos e bebidas); Alimentador de máquina automática; Auxiliar de linha de produção; Operador de processo de produção";"Preparar materiais para alimentação de linhas de produção; organizar a área de serviço; abastecer linhas de produção; alimentar máquinas e separar materiais para reaproveitamento. Abastecer os teares com os fios; Retirar e separar caixas vazias e plásticos para coleta da sucata; Garantir que o fio carregado nas maquinas seja o correto; Verificar a qualidade do fio recebido antes de carregar no tear; Entre outras atividades pertinentes ao cargo.";;;;;;;;;;;;;;;;;;;
456;CEO;"CEO (Chief Executive Officer); Diretor Executivo; Presidente;";"Garantir os resultados da empresa conforme diretrizes estratégicas e operacionais estabelecidas, através da integração e gerenciamento de todas as áreas. Administrar com qualidade, agilidade e eficiência, contribuindo para a concretização dos negócios e objetivos da empresa. Responsável em resolver e tomar decisões importantes, gerenciar os recursos e operações gerais de uma organização e atuar como o ponto central de comunicação entre o operacional e o conselho de administração.
Planejar, organizar, dirigir e controlar todas as atividades, de forma a permitir o desenvolvimento e continuidade da empresa. Estabelecer estratégias, políticas, programas e planos de curto, médio e longo prazos, assim como coordenar e acompanhar o seu desenvolvimento. Decidir sobre viabilidade de novos negócios. Entre outras atividades pertinentes ao cargo.";;;;;;;;;;;;;;;;;;;
800;Colorista Têxtil;Tingidor de fios ou tecidos;Desenvolver e executar receitas e misturas de cores e tingimentos do tecido. Verificar especificações de insumos e do tecido. Regular e operar máquinas. Realizar limpeza e manutenção de materiais e equipamentos. Controlar a qualidade do processo e do produto. Trabalhar seguindo normas de segurança, higiene, qualidade e proteção ao meio ambiente. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
93;Comprador;;Efetuar compras de materiais e equipamentos, através de requisição de compras e características específicas. Realizar cotação de preços dos produtos a serem adquiridos. Atualizar cadastro de fornecedores. Acompanhar o recebimento de materiais verificando o atendimento às especificações. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
955;Conferente;Conferente de Carga e Descarga;Receber e conferir mercadorias, faturas e notas fiscais. Verificar e realizar a movimentação de entradas e saídas. Lançar e emitir notas dede devolução. Auxiliar no carregamento do caminhão quando necessário. Programar o agendamento com os fornecedores para recebimento. Manter a limpeza e organização do ambiente para facilitar a movimentação dos itens armazenados. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
